Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/10/2022,6.9,18.3,0,3,10,S,22,14:49,12.6,72,6,NNE,7,1025.9,17.6,49,2,S,13,1021.1
2/10/2022,7.2,17.7,0,6.4,11.2,S,28,14:25,11.6,87,1,SE,2,1021.3,16.5,46,1,SSE,13,1020.1
3/10/2022,7,21.2,0,3.8,6.8,SSW,20,14:53,9.5,85,7,N,7,1021.2,20.3,37,2,S,9,1018.2
4/10/2022,9.5,16,0,3.2,2.1,SSW,26,11:35,13.9,73,7,ESE,9,1023.7,15.7,61,7,SSE,13,1023.6
5/10/2022,10.5,14.5,0,2.6,0,SE,19,13:40,12.4,73,8,NNE,6,1023.2,14.3,85,8,ESE,11,1020.9
6/10/2022,11.6,21.5,7.4,1,6.7,NNE,43,15:49,14.4,96,7,ENE,2,1017.6,19.8,64,7,NNE,22,1013.8
7/10/2022,14.4,19.6,15.2,4.8,4.1,SW,31,10:25,17.4,81,8,N,11,1010.3,17.7,77,6,ENE,9,1009.3
8/10/2022,9.6,15.2,19.8,2.4,9.7,SSE,35,15:40,11.2,70,3,W,13,1018.6,13.6,61,5,S,17,1019.6
9/10/2022,7.1,15.1,0.2,2.6,8.1,SSW,28,10:28,9.3,85,6,W,9,1025.2,14,43,5,SSW,15,1025
10/10/2022,5.3,18,0,4.4,11.8,S,24,11:53,9.3,71,2,NNE,7,1027.4,17.5,33,2,SSE,9,1024.2
11/10/2022,8.4,22.2,0,3.8,4.8,N,35,11:01,11.5,71,6,NNE,13,1021.4,20.8,42,7,N,19,1017.4
12/10/2022,11.4,18.8,1.8,5,0,N,50,23:00,16.4,90,8,N,9,1015.6,15.5,100,8,NNE,13,1014.1
13/10/2022,15.4,17.5,21.6,2.4,0,N,43,1:51,15.7,100,8,NNE,6,1010.5,16.3,85,8,NNE,13,1002.8
14/10/2022,10.3,18.3,22.6,0.6,7.1,NNW,48,8:42,13.6,76,6,N,17,1006.7,17.9,58,5,WNW,17,1009
15/10/2022,10,19,1.2,3.4,6.6,SSE,26,20:10,13.6,57,7,NW,11,1019.6,17.4,40,7,NNW,15,1018
16/10/2022,11.4,16.2,2.4,3.6,8.9,SSE,33,12:46,13.4,85,7,W,7,1022.2,15.5,58,5,S,17,1021.9
17/10/2022,6.2,15.2,0,3.8,11.9,S,33,17:23,10.3,75,2,N,6,1024.4,14.4,57,7,SSW,19,1022.7
18/10/2022,6.8,21.6,0,5,7.1,NNW,20,10:42,11.5,75,6,NW,7,1019.9,19.8,43,6,S,9,1016.6
19/10/2022,7.8,20.7,0,2.6,12.5,SW,28,12:55,12.8,72,0,NNE,9,1019.7,19.3,51,1,SSW,15,1017.1
